num of inputs, runtime (in ms)

1000, 64.682000
2000, 128.541000
3000, 194.728000
4000, 254.978000
5000, 337.491000
6000, 383.640000
7000, 441.082000
8000, 504.063000
9000, 575.569000
10000, 646.815000
11000, 720.597000
12000, 765.050000
13000, 838.947000
14000, 884.625000
15000, 983.544000
16000, 1019.521000
17000, 1104.068000
18000, 1173.647000
19000, 1255.278000
20000, 1295.512000
21000, 1351.984000
22000, 1398.586000
23000, 1531.066000
24000, 1555.988000
25000, 1595.013000
26000, 1675.022000
27000, 1745.187000
28000, 1802.542000
29000, 1890.717000
30000, 1921.126000
31000, 2011.746000
32000, 2037.874000
33000, 2107.560000
34000, 2183.166000
35000, 2304.766000
36000, 2334.274000
37000, 2385.536000
38000, 2447.914000
39000, 2525.810000
40000, 2558.074000
41000, 2648.193000
42000, 2677.273000
43000, 2758.817000
44000, 2818.263000
45000, 2855.767000
46000, 2985.471000
47000, 3074.249000
48000, 3068.105000
49000, 3137.790000
50000, 3178.843000
51000, 3277.315000
52000, 3337.792000
53000, 3405.933000
54000, 3466.342000
55000, 3559.731000
56000, 3602.362000
57000, 3698.913000
58000, 3795.286000
59000, 3760.846000
60000, 3805.605000
61000, 3956.119000
62000, 4001.300000
63000, 4061.794000
64000, 4106.484000
65000, 4216.332000
66000, 4228.378000
67000, 4378.208000
68000, 4349.544000
69000, 4438.150000
70000, 4521.196000
71000, 4579.785000
72000, 4656.593000
73000, 4707.985000
74000, 4784.078000
75000, 4871.842000
76000, 4930.224000
77000, 4961.824000
78000, 4994.601000
79000, 5108.867000
80000, 5109.006000
81000, 5154.757000
82000, 5276.568000
83000, 5343.678000
84000, 5430.947000
85000, 5483.581000
86000, 5528.700000
87000, 5573.659000
88000, 5654.988000
89000, 5651.055000
90000, 5789.761000
91000, 5843.253000
92000, 5970.620000
93000, 5982.437000
94000, 6079.604000
95000, 6106.181000
96000, 6226.399000
97000, 6264.961000
98000, 6254.605000
99000, 6349.769000
100000, 6437.137000
101000, 6488.347000
102000, 6566.257000
103000, 6613.792000
104000, 6671.853000
105000, 6732.120000
106000, 6851.320000
107000, 6879.844000
108000, 6936.436000
109000, 6958.426000
110000, 7112.096000
111000, 7181.447000
112000, 7212.372000
113000, 7269.250000
114000, 7278.088000
115000, 7402.681000
116000, 7458.506000
117000, 7516.774000
118000, 7668.374000
119000, 7683.592000
120000, 7797.748000
121000, 7752.252000
122000, 7818.247000
123000, 7875.008000
124000, 7947.716000
125000, 8093.557000
126000, 8152.942000
127000, 8194.178000
128000, 8233.211000
129000, 8339.343000
130000, 8373.536000
131000, 8438.526000
132000, 8528.549000
133000, 8586.571000
134000, 8618.461000
135000, 8633.823000
136000, 8820.355000
137000, 8806.948000
138000, 8889.730000
139000, 8931.550000
140000, 9030.494000
141000, 9095.883000
142000, 9117.236000
143000, 9209.698000
144000, 9302.556000
145000, 9305.347000
146000, 9367.812000
147000, 9480.873000
148000, 9563.594000
149000, 9592.775000
150000, 9722.004000
151000, 9742.342000
152000, 9743.849000
153000, 9863.799000
154000, 9884.009000
155000, 10052.139000
156000, 10099.441000
157000, 10123.227000
158000, 10210.533000
159000, 10281.523000
160000, 10347.039000
161000, 10343.965000
162000, 10402.294000
163000, 10479.255000
164000, 10561.464000
165000, 10543.426000
166000, 10642.396000
167000, 10755.820000
168000, 10763.730000
169000, 10912.659000
170000, 11054.078000
171000, 10967.422000
172000, 11111.292000
173000, 11234.771000
174000, 11209.438000
175000, 11302.508000
176000, 11304.428000
177000, 11467.156000
