num of inputs, runtime (in ms)

0, 0.101000
1000, 2.179000
1000, 1.887000
1000, 1.889000
2000, 3.651000
3000, 5.228000
4000, 6.955000
5000, 9.132000
6000, 10.337000
7000, 12.754000
8000, 14.499000
9000, 15.842000
10000, 17.341000
11000, 19.247000
12000, 22.903000
13000, 23.998000
14000, 25.472000
15000, 25.878000
16000, 31.662000
17000, 30.282000
18000, 32.961000
19000, 36.262000
20000, 36.313000
21000, 42.964000
22000, 40.393000
23000, 41.516000
24000, 43.800000
25000, 44.264000
26000, 48.611000
27000, 49.767000
28000, 52.982000
29000, 57.611000
30000, 53.516000
31000, 56.665000
32000, 60.476000
33000, 60.018000
34000, 62.645000
35000, 63.928000
36000, 64.775000
37000, 71.424000
38000, 72.739000
39000, 69.556000
40000, 78.076000
41000, 74.267000
42000, 74.549000
43000, 77.170000
44000, 75.887000
45000, 89.549000
46000, 82.572000
47000, 87.768000
48000, 89.654000
49000, 93.236000
50000, 93.308000
51000, 92.821000
52000, 93.331000
53000, 104.463000
54000, 99.992000
55000, 109.804000
56000, 98.710000
57000, 104.727000
58000, 103.366000
59000, 108.439000
60000, 112.204000
61000, 111.696000
62000, 112.053000
63000, 111.268000
64000, 120.324000
65000, 126.982000
66000, 117.554000
67000, 128.736000
68000, 125.271000
69000, 129.701000
70000, 125.278000
71000, 135.597000
72000, 128.178000
73000, 133.109000
74000, 134.022000
75000, 135.393000
76000, 140.629000
77000, 147.813000
78000, 140.201000
79000, 141.116000
80000, 140.472000
81000, 150.129000
82000, 153.323000
83000, 160.880000
84000, 169.562000
85000, 159.198000
86000, 165.629000
87000, 155.666000
88000, 163.287000
89000, 161.906000
90000, 170.726000
91000, 166.338000
92000, 175.540000
93000, 165.388000
94000, 176.812000
95000, 169.897000
96000, 179.308000
97000, 182.321000
98000, 188.764000
99000, 184.944000
100000, 182.523000
101000, 178.535000
102000, 182.055000
103000, 195.393000
104000, 187.676000
105000, 193.637000
106000, 187.336000
107000, 199.144000
108000, 197.967000
109000, 198.504000
110000, 194.129000
111000, 200.156000
112000, 200.373000
113000, 204.730000
114000, 206.784000
115000, 206.689000
116000, 208.837000
117000, 211.912000
118000, 213.637000
119000, 230.756000
120000, 212.454000
