number of inputs, runtime of decomposer(in ms)

1, 0.249
2, 0.151
3, 0.206
4, 0.118
5, 0.5
6, 0.669
7, 0.987
8, 1.383
9, 0.855
10, 0.438
11, 0.95
12, 0.532
13, 0.994
14, 0.77
15, 1.085
16, 0.815
17, 0.52
18, 0.813
19, 1.182
20, 0.306
21, 0.551
22, 0.784
23, 0.758
24, 0.636
25, 0.964
26, 0.788
27, 1.459
28, 1.513
29, 1.361
30, 1.367
31, 1.04
32, 1.363
33, 1.331
34, 2.019
35, 1.526
36, 4.995
37, 4.293
38, 9.067
39, 2.855
40, 3.125
41, 1.977
42, 2.341
43, 2.018
44, 1.739
45, 2.071
46, 1.933
47, 2.465
48, 2.869
49, 2.624
50, 2.39
51, 1.756
52, 3.119
53, 2.354
54, 2.367
55, 2.872
56, 3.123
57, 2.508
58, 2.459
59, 2.491
60, 2.102
61, 2.659
62, 1.971
63, 3.089
64, 3.155
65, 3.738
66, 2.09
67, 2.701
68, 2.299
69, 2.318
70, 2.495
71, 4.166
72, 2.411
73, 3.039
74, 3.064
75, 3.398
76, 2.441
77, 2.707
78, 3.554
79, 4.136
80, 4.231
81, 4.678
82, 3.624
83, 4.23
84, 3.191
85, 3.427
86, 3.767
87, 3.629
88, 3.748
89, 2.516
90, 4.879
91, 4.1
92, 4.582
93, 3.367
94, 5.02
95, 3.568
96, 3.292
97, 4.189
98, 4.229
99, 4.874
100, 4.603
101, 4.756
102, 6.715
103, 3.563
104, 2.971
105, 14.554
106, 13.799
107, 12.375
108, 11.632
109, 15.709
110, 13.018
111, 10.586
112, 10.528
113, 6.996
114, 8.476
115, 8.892
116, 10.895
117, 7.674
118, 22.597
119, 16.371
120, 10.796
121, 9.145
122, 5.6
123, 11.73
124, 11.092
125, 9.117
126, 6.701
127, 4.87
128, 13.789
129, 20.816
130, 9.693
131, 9.474
132, 12.637
133, 8.053
134, 10.328
135, 15.263
136, 10.013
137, 16.137
138, 9.004
139, 8.515
140, 18.502
141, 9.367
142, 6.186
143, 11.294
144, 6.533
145, 6.084
146, 7.974
147, 12.971
148, 10.311
149, 7.271
150, 7.96
151, 8.154
152, 9.075
153, 5.387
154, 6.772
155, 6.166
156, 23.416
157, 18.782
158, 9.721
159, 11.203
160, 7.076
161, 8.834
162, 7.216
163, 23.336
164, 15.182
165, 9.546
166, 5.428
167, 7.336
168, 27.186
169, 10.909
170, 9.397
171, 9.543
172, 15.864
173, 7.508
174, 7.426
175, 13.624
176, 7.291
177, 27.622
178, 9.803
179, 7.901
180, 7.72
181, 6.786
182, 8.463
183, 5.859
184, 15.381
185, 9.838
186, 12.27
187, 8.181
188, 22.933
189, 13.275
190, 18.979
191, 9.018
192, 6.692
193, 21.381
194, 11.311
195, 7.02
196, 13.038
197, 9.166
198, 27.89
199, 12.407
200, 11.357
201, 9.772
202, 13.203
203, 9.213
204, 8.972
205, 8.688
206, 8.158
207, 9.556
208, 19.221
209, 11.598
210, 18.78
211, 11.371
212, 10.647
213, 10.545
214, 16.521
215, 9.132
216, 28.569
217, 11.905
218, 11.585
219, 17.409
220, 10.394
221, 12.238
222, 7.327
223, 8.353
224, 15.237
225, 9.43
226, 9.179
227, 11.636
228, 19.241
229, 10.959
230, 9.485
231, 10.577
232, 11.469
233, 17.765
234, 10.085
235, 10.28
236, 10.597
237, 11.075
238, 33.899
239, 11.376
240, 13.164
241, 10.896
242, 11.012
243, 11.348
244, 14.204
245, 13.131
246, 12.776
247, 23.843
248, 11.499
249, 11.264
250, 12.08
251, 12.348
252, 14.892
253, 13.527
254, 28.113
255, 12.693
256, 11.801
257, 11.098
258, 9.432
259, 10.935
260, 10.288
261, 19.656
262, 12.875
263, 34.47
264, 14.086
265, 10.282
266, 9.726
267, 17.667
268, 8.865
269, 25.622
270, 12.058
271, 30.926
272, 14.357
273, 12.398
274, 11.863
275, 12.381
276, 10.818
277, 27.559
278, 12.318
279, 30.546
280, 11.474
281, 12.167
282, 9.487
283, 20.338
284, 11.665
285, 28.448
286, 11.959
287, 13.507
288, 13.124
289, 32.943
290, 12.859
291, 10.697
292, 24.207
293, 12.154
294, 12.829
295, 22.881
296, 18.066
297, 15.298
298, 15.756
299, 15.095
300, 10.748
301, 11.557
302, 13.869
303, 14.728
304, 20.856
305, 11.454
306, 32.849
307, 15.888
308, 13.786
309, 12.941
310, 14.655
311, 20.366
312, 13.836
313, 20.631
314, 12.04
315, 39.123
316, 16.183
317, 13.404
318, 13.256
319, 13.494
320, 14.641
321, 14.721
322, 20.267
323, 11.108
324, 14.167
325, 12.39
326, 15.757
327, 13.113
328, 14.996
329, 14.016
330, 25.772
331, 14.52
332, 13.548
333, 16.747
334, 11.863
335, 11.821
336, 13.674
337, 28.505
338, 14.842
339, 29.376
340, 16.713
341, 13.063
342, 14.698
343, 10.917
344, 15.602
345, 15.135
346, 29.132
347, 14.281
348, 14.576
349, 14.106
350, 15.353
351, 14.213
352, 15.378
353, 42.405
354, 15.862
355, 23.329
356, 14.652
357, 13.792
358, 13.249
359, 14.853
360, 14.856
361, 28.935
362, 15.231
363, 19.191
364, 14.213
365, 14.061
366, 16.219
367, 15.085
368, 16.263
369, 25.076
370, 12.317
371, 14.178
372, 15.74
373, 15.667
374, 15.533
375, 14.764
376, 35.59
377, 17.292
378, 14.776
379, 13.882
380, 16.144
381, 16.747
382, 18.444
383, 13.99
384, 17.813
385, 34.446
386, 18.702
387, 17.651
388, 16.108
389, 17.547
390, 18.003
391, 20.721
392, 25.671
393, 17.204
394, 21.653
395, 17.656
396, 18.753
397, 17.108
398, 20.369
399, 17.935
400, 34.717
401, 17.652
402, 16.741
403, 19.301
404, 17.175
405, 16.615
406, 26.117
407, 16.537
408, 40.932
409, 16.886
410, 17.139
411, 26.317
412, 19.453
413, 16.277
414, 17.097
415, 39.239
416, 18.132
417, 16.57
418, 17.622
419, 17.883
420, 17.94
421, 18.267
422, 19.409
423, 16.813
424, 42.026
425, 17.512
426, 21.921
427, 17.563
428, 19.003
429, 19.251
430, 14.732
431, 22.331
432, 22.666
433, 17.904
434, 16.542
435, 19.808
436, 16.977
437, 19.93
438, 22.302
439, 19.112
440, 18.332
441, 20.315
442, 34.043
443, 18.501
444, 17.5
445, 17.937
446, 18.823
447, 19.193
448, 19.423
449, 17.72
450, 38.549
451, 17.7
452, 25.403
453, 17.464
454, 17.807
455, 19.958
456, 15.872
457, 17.269
458, 39.657
459, 21.918
460, 19.187
461, 18.882
462, 20.365
463, 18.607
464, 22.367
465, 20.638
466, 39.381
467, 18.835
468, 24.438
469, 19.333
470, 16.961
471, 21.305
472, 21.103
473, 36.189
474, 20.226
475, 22.315
476, 19.722
477, 23.159
478, 20.336
479, 19.578
480, 22.834
481, 18.768
482, 20.155
483, 18.149
484, 22.462
485, 17.695
486, 21.665
487, 19.428
488, 43.28
489, 19.192
490, 18.378
491, 17.625
492, 21.339
493, 20.928
494, 21.681
495, 21.787
496, 38.533
497, 18.658
498, 22.472
499, 21.214
500, 19.582
501, 20.48
502, 16.884
503, 21.057
504, 33.437
505, 23.675
506, 22.248
507, 18.106
508, 21.258
509, 21.58
510, 23.571
511, 21.368
512, 17.835
513, 41.193
514, 23.006
515, 35.291
516, 20.287
517, 17.827
518, 19.614
519, 20.018
520, 20.31
521, 39.356
522, 22.58
523, 21.28
524, 18.446
525, 25.665
526, 23.326
527, 19.881
528, 30.153
529, 22.627
530, 23.501
531, 22.982
532, 25.485
533, 19.919
534, 47.763
535, 22.521
536, 25.855
537, 21.895
538, 20.49
539, 21.467
540, 35.935
541, 21.815
542, 23.091
543, 21.392
544, 26.75
545, 25.227
546, 26.095
547, 22.211
548, 21.436
549, 21.426
550, 22.421
551, 24.057
552, 20.848
553, 23.107
554, 21.961
555, 43.285
556, 23.516
557, 22.897
558, 24.749
559, 25.03
560, 22.316
561, 23.845
562, 48.681
563, 22.99
564, 20.575
565, 21.935
566, 25.496
567, 24.299
568, 35.658
569, 19.254
570, 23.068
571, 24.687
572, 24.357
573, 20.155
574, 22.535
575, 20.737
576, 43.873
577, 27.518
578, 21.78
579, 25.489
580, 19.939
581, 24.161
582, 22.87
583, 47.46
584, 23.735
585, 22.948
586, 23.799
587, 23.891
588, 23.947
589, 23.38
590, 21.256
591, 35.083
592, 22.571
593, 27.116
594, 26.031
595, 24.982
596, 22.351
597, 44.472
598, 25.692
599, 23.347
600, 24.373
601, 25.82
602, 25.376
603, 23.994
604, 26.218
605, 26.052
606, 21.713
607, 25.902
608, 24.14
609, 25.536
610, 23.956
611, 27.338
612, 29.759
613, 23.425
614, 24.266
615, 26.507
616, 26.268
617, 24.578
618, 24.512
619, 49.656
620, 28.03
621, 25.487
622, 27.112
623, 27.149
624, 28.405
625, 25.33
626, 26.699
627, 26.021
628, 26.29
629, 23.8
630, 26.667
631, 25.548
632, 24.764
633, 23.852
634, 39.933
635, 24.472
636, 25.637
637, 25.423
638, 25.282
639, 26.39
640, 26.235
641, 46.235
642, 27.358
643, 26.411
644, 29.337
645, 25.551
646, 24.669
647, 44.405
648, 25.973
649, 27.761
650, 26.01
651, 29.19
652, 24.871
653, 37.657
654, 28.2
655, 27.292
656, 27.874
657, 27.37
658, 27.873
659, 26.889
660, 29.123
661, 25.666
662, 26.596
663, 34.533
664, 31.403
665, 27.952
666, 27.796
667, 26.162
668, 39.796
669, 28.973
670, 30.117
671, 29.549
672, 31.012
673, 30.151
674, 26.86
675, 30.962
676, 30.047
677, 31.226
678, 28.276
679, 26.381
680, 29.848
681, 29.811
682, 29.188
683, 26.737
684, 27.068
685, 26.614
686, 28.859
687, 26.414
688, 28.671
689, 28.567
690, 42.94
691, 29.58
692, 27.164
693, 25.733
694, 27.457
695, 28.931
696, 28.129
697, 28.016
698, 28.571
699, 28.634
700, 27.123
701, 28.408
702, 26.46
703, 30
704, 33.806
705, 27.738
706, 30.553
707, 26.813
708, 27.853
709, 28.711
710, 29.797
711, 27.258
712, 29.054
713, 28.015
714, 27.802
715, 29.878
716, 30.6
717, 30.165
718, 28.71
719, 29.32
720, 28.217
721, 28.915
722, 30.02
723, 29.973
724, 31.794
725, 32.962
726, 27.496
727, 31.377
728, 33.212
729, 31.859
730, 30.046
731, 30.732
732, 30.235
733, 32.767
734, 51.831
735, 32.755
736, 31.496
737, 30.771
738, 34.121
739, 44.581
740, 30.448
741, 33.81
742, 32.227
743, 29.575
744, 38.433
745, 34.773
746, 33.935
747, 33.36
748, 33.219
749, 29.701
750, 34.488
751, 30.399
752, 30.52
753, 29.866
754, 29.966
755, 30.67
756, 30.243
757, 45.795
758, 31.397
759, 33.155
760, 30.998
761, 32.72
762, 27.644
763, 29.206
764, 30.2
765, 31.116
766, 33.754
767, 30.29
768, 31.793
769, 29.061
770, 40.696
771, 28.839
772, 34.591
773, 28.766
774, 30.13
775, 31.395
776, 30.861
777, 28.769
778, 29.017
779, 32.823
780, 32.885
781, 28.724
782, 34.57
783, 37.238
784, 30.798
785, 34.583
786, 55.341
787, 54.541
788, 33.444
789, 33.811
790, 32.7
791, 36.06
792, 33.461
793, 33.99
794, 32.386
795, 31.528
796, 33.018
797, 31.585
798, 31.485
799, 29.85
800, 30.548
801, 32.437
802, 33.078
803, 31.357
804, 33.635
805, 36
806, 34.648
807, 36.665
808, 33.488
809, 34.052
810, 35.054
811, 36.79
812, 40.277
813, 29.987
814, 31.107
815, 29.78
816, 34.746
817, 29.629
818, 30.564
819, 33.963
820, 34.138
821, 30.382
822, 32.398
823, 34.583
824, 35.041
825, 32.024
826, 35.178
827, 34.719
828, 33.491
829, 32.972
830, 34.23
831, 35.445
832, 34.867
833, 32.706
834, 34.529
835, 37.033
836, 32.631
837, 35.127
838, 32.017
839, 34.722
840, 34.553
841, 33.742
842, 32.403
843, 33.118
844, 34.811
845, 38.119
846, 34.011
847, 32.698
848, 33.833
849, 35.541
850, 36.566
851, 37.243
852, 32.167
853, 34.525
854, 35.235
855, 35.397
856, 37.989
857, 32.461
858, 35.874
859, 35.269
860, 35.683
861, 35.232
862, 32.839
863, 34.704
864, 39.088
865, 33.192
866, 35.829
867, 37.042
868, 32.313
869, 44.996
870, 35.475
871, 34.255
872, 31.908
873, 37.072
874, 38.316
875, 36.455
876, 35.343
877, 39.386
878, 35.513
879, 41.203
880, 35.508
881, 36.597
882, 38.693
883, 37.353
884, 35.65
885, 38.712
886, 33.967
887, 36.736
888, 38.68
889, 39.593
890, 36.533
891, 39.283
892, 39.94
893, 35.554
894, 38.668
895, 38.093
896, 37.542
897, 37.981
898, 42.547
899, 36.048
900, 41.934
901, 39.443
902, 35.89
903, 37.15
904, 36.385
905, 37.447
906, 41.48
907, 38.164
908, 39.474
909, 41.26
910, 38.579
911, 38.091
912, 35.188
913, 35.136
914, 35.444
915, 39.201
916, 35.598
917, 36.672
918, 42.753
919, 37.438
920, 35.284
921, 35.797
922, 40.868
923, 34.776
924, 35.928
925, 43.461
926, 37.61
927, 34.959
928, 37.411
929, 39.469
930, 37.365
931, 37.871
932, 47.033
933, 42.264
934, 38.183
935, 38.794
936, 38.288
937, 35.105
938, 54.641
939, 43.053
940, 43.635
941, 44.129
942, 38.493
943, 43.966
944, 51.378
945, 41.617
946, 43.65
947, 41.83
948, 40.816
949, 38.558
950, 39.883
951, 39.268
952, 57.58
953, 37.955
954, 42.235
955, 34.682
956, 37.079
957, 38.415
958, 40.108
959, 39.794
960, 38.866
961, 38.464
962, 33.992
963, 37.804
964, 38.523
965, 39.486
966, 35.348
967, 39.838
968, 44.844
969, 35.76
970, 40.034
971, 35.592
972, 40.165
973, 35.404
974, 40.484
975, 41.313
976, 38.564
977, 39.146
978, 57.94
979, 39.797
980, 41.651
981, 43.497
982, 44.438
983, 39.888
984, 42.884
985, 45.417
986, 35.343
987, 49.55
988, 42.307
989, 39.148
990, 44.084
991, 41.731
992, 39.767
993, 39.625
994, 42.188
995, 37.923
996, 39.709
997, 39.238
998, 36.112
999, 41.593
1000, 37.125
