number of inputs, runtime(in ms)

1, 0.389
501, 0.162
1001, 0.195
1501, 0.274
2001, 0.34
2501, 0.414
3001, 0.53
3501, 0.603
4001, 0.554
4501, 0.754
5001, 0.867
5501, 4.128
6001, 3.142
6501, 2.369
7001, 1.619
7501, 1.786
8001, 1.191
8501, 1.264
9001, 4.023
9501, 4.435
10001, 4.821
10501, 3.868
11001, 4.257
11501, 3.441
12001, 2.956
12501, 1.928
13001, 1.832
13501, 5.167
14001, 3.149
14501, 1.97
15001, 1.985
15501, 2.009
16001, 3.769
16501, 3.603
17001, 3.936
17501, 6.264
18001, 12.306
18501, 8.729
19001, 8.384
19501, 8.795
20001, 6.355
20501, 6.893
21001, 9.017
21501, 9.23
22001, 9.77
22501, 9.965
23001, 9.761
23501, 6.335
24001, 4.853
24501, 4.057
25001, 3.589
25501, 3.432
26001, 3.533
26501, 3.624
27001, 3.699
27501, 5.113
28001, 4.008
28501, 3.983
29001, 4.232
29501, 3.785
30001, 3.864
30501, 4.221
31001, 4.172
31501, 3.969
32001, 4.357
32501, 5.298
33001, 4.688
33501, 4.504
34001, 4.546
34501, 4.977
35001, 4.547
35501, 4.658
36001, 4.378
36501, 4.671
37001, 5.752
37501, 4.839
38001, 5.284
38501, 5.057
39001, 5.132
39501, 5.342
40001, 5.221
40501, 5.373
41001, 6.359
41501, 5.441
42001, 5.559
42501, 5.924
43001, 5.848
43501, 5.581
44001, 5.538
44501, 5.769
45001, 6.942
45501, 5.862
46001, 6.338
46501, 6.452
47001, 6.26
47501, 6.443
48001, 6.152
48501, 6.701
49001, 6.435
49501, 6.974
50001, 6.702
50501, 6.577
51001, 7.268
51501, 7.333
52001, 7.422
52501, 7.028
53001, 7.666
53501, 11.205
54001, 8.21
54501, 12.006
55001, 11.975
55501, 7.191
56001, 28.104
56501, 24.967
57001, 33.065
57501, 30.075
58001, 15.248
58501, 7.648
59001, 29.716
59501, 34.515
60001, 32.86
60501, 18.219
61001, 10.49
61501, 9.245
62001, 8.537
62501, 8.636
63001, 8.923
63501, 9.197
64001, 8.807
64501, 8.951
65001, 9.504
65501, 9.074
66001, 9.37
66501, 9.207
67001, 9.196
67501, 8.703
68001, 8.807
68501, 9.39
69001, 10.267
69501, 11.052
70001, 13.8
70501, 10.654
71001, 16.299
71501, 15.176
72001, 11.349
72501, 12.249
73001, 12.298
73501, 11.826
74001, 30.397
74501, 31.989
75001, 28.859
75501, 18.604
76001, 12.986
76501, 10.497
77001, 11.112
77501, 11.208
78001, 33.516
78501, 34.455
79001, 54.662
79501, 30.71
80001, 12.83
80501, 11.569
81001, 10.227
81501, 33.825
82001, 34.272
82501, 23.677
83001, 14.504
83501, 11.594
84001, 11.012
84501, 11.075
85001, 11.287
85501, 11.274
86001, 11.323
86501, 32.935
87001, 28.14
87501, 19.451
88001, 45.93
88501, 29.284
89001, 18.82
89501, 60.751
90001, 37.935
90501, 14.734
91001, 12.135
91501, 13.209
92001, 13.038
92501, 39.24
93001, 33.673
93501, 40.789
94001, 41.304
94501, 22.426
95001, 15.135
95501, 13.104
96001, 41.468
96501, 42.177
97001, 25.425
97501, 15.654
98001, 15.208
98501, 40.314
99001, 42.98
99501, 30.86
100001, 20.382
100501, 21.422
101001, 12.65
101501, 48.485
102001, 42.733
102501, 22.25
103001, 15.188
103501, 14.526
104001, 44.221
104501, 43.363
105001, 20.222
105501, 14.463
106001, 14.75
106501, 14.433
107001, 15.717
107501, 46.266
108001, 44.778
108501, 25.021
109001, 15.411
109501, 47.222
110001, 22.536
110501, 16.83
111001, 17.011
111501, 17.893
112001, 18.849
112501, 16.234
113001, 56.874
113501, 33.886
114001, 18.167
114501, 24.662
115001, 22.2
115501, 21.609
116001, 17.776
116501, 25.234
117001, 17.537
117501, 26.337
118001, 17.386
118501, 17.497
119001, 18.119
119501, 18.396
120001, 23.132
120501, 25.946
121001, 26.108
121501, 26.798
122001, 25.775
122501, 25.96
123001, 24.957
123501, 22.18
124001, 15.439
124501, 50.932
125001, 50.82
125501, 23.009
126001, 16.747
126501, 18.107
127001, 18.072
127501, 55.468
128001, 28.292
128501, 17.922
129001, 41.061
129501, 55.202
130001, 56.764
130501, 26.971
131001, 17.324
131501, 18.195
132001, 16.362
132501, 16.967
133001, 59.007
133501, 31.824
134001, 18.379
134501, 58.112
135001, 38.696
135501, 18.288
136001, 18.577
136501, 18.035
137001, 17.871
137501, 20.916
138001, 30.39
138501, 79.974
139001, 25.41
139501, 18.106
140001, 19.005
140501, 18.064
141001, 18.874
141501, 66.016
142001, 30.534
142501, 19.473
143001, 20.09
143501, 20.724
144001, 76.125
144501, 37.84
145001, 22.729
145501, 21.829
146001, 21.79
146501, 20.359
147001, 55.321
147501, 36.077
148001, 20.289
148501, 61.563
149001, 52.176
149501, 23.108
150001, 21.327
150501, 26.769
151001, 29.8
151501, 30.118
152001, 23.97
152501, 19.957
153001, 21.478
153501, 20.831
154001, 68.01
154501, 32.369
155001, 22.914
155501, 21.962
156001, 21.03
156501, 21.844
157001, 59.631
157501, 26.063
158001, 21.309
158501, 21.85
159001, 61.481
159501, 69.595
160001, 33.802
160501, 21.557
161001, 23.431
161501, 21.861
162001, 21.708
162501, 21.728
163001, 35.197
163501, 21.041
164001, 65.132
164501, 37.051
165001, 22.691
165501, 26.963
166001, 23.917
166501, 23.686
167001, 35.321
167501, 36.403
168001, 35.066
168501, 69.998
169001, 34.288
169501, 37.381
170001, 34.693
170501, 23.426
171001, 24.059
171501, 23.281
172001, 24.4
172501, 25.234
