number of inputs, runtime(in ms)

1000,3218.4739999999997
2000,6623.339000000001
3000,10054.471
4000,12891.429
5000,16085.266999999998
6000,19837.998
7000,22500.441
8000,26020.090000000004
9000,28904.590000000004
10000,32613.918999999994
11000,37308.935000000005
12000,40141.047
13000,42438.450000000004
14000,45119.018
15000,48618.695
16000,51698.361999999994
17000,54928.244
18000,59776.573
19000,62741.088
20000,65040.44899999999
21000,70549.102
22000,73312.95899999999
23000,77342.663
24000,78167.338
25000,83174.825
26000,86398.164
27000,87440.795
28000,93706.48899999999
29000,93925.501
30000,99259.432
31000,103587.68400000001
32000,103898.95800000001
33000,110641.804
34000,114026.315
35000,112513.68500000001
36000,118730.57
37000,121165.57200000001
38000,126976.297
39000,129578.901
40000,134176.357
41000,135715.541
42000,139499.074
43000,143644.75100000002
44000,140961.40200000003
45000,155015.154
46000,148105.35800000004
47000,153935.67
48000,157053.831
49000,164679.237
50000,165660.149
51000,168763.206
52000,172077.79
53000,171746.66999999998
54000,171993.262
55000,178368.09499999997
56000,186031.221
57000,184533.92299999998
58000,192966.318
59000,188391.72
60000,202412.042
61000,198540.297
62000,201628.278
63000,210823.318
64000,220451.486
65000,212487.155
66000,224307.00400000002
67000,222212.355
68000,239659.875
69000,230921.853
70000,231930.863
71000,227860.158
72000,243543.18600000002
73000,245649.68600000002
74000,248040.338
75000,245428.92
76000,242517.862
77000,261481.23600000003
78000,257418.741
79000,262723.73
80000,266458.432
81000,260575.36400000003
82000,270387.43299999996
83000,268997.592
84000,270350.377
85000,281483.144
86000,279534.80700000003
87000,279500.25299999997
88000,295366.998
89000,294901.308
90000,290135.117
91000,302635.487
92000,293953.197
93000,314216.66799999995
94000,310218.733
95000,314331.022
96000,315887.189
97000,321238.701
98000,317963.512
99000,317587.50899999996
100000,323237.017
101000,326751.11
102000,338015.109
103000,334835.016
104000,349959.445
105000,351287.0
106000,339912.897
107000,351625.31200000003
108000,364677.81
109000,349024.252
110000,354314.234
111000,365449.94100000005
112000,388758.826
113000,376117.522
114000,380821.639
115000,384657.33200000005
116000,388318.053
117000,377152.284
118000,381834.52499999997
119000,390920.336
120000,387793.097
121000,393788.39
122000,436880.902
123000,396074.87899999996
124000,400228.425
125000,420016.459
126000,405518.86900000006
127000,420546.944
128000,417209.317
129000,434381.081
130000,419171.063
131000,421145.109
132000,445939.632
133000,451927.034
134000,437073.179
135000,447204.236
136000,452196.771
137000,462880.95200000005
138000,450242.24199999997
139000,444740.14600000007
140000,462810.592
141000,454425.316
142000,485032.895
143000,461680.499
144000,476781.58999999997
145000,468254.347
146000,473790.031
147000,487447.197
148000,491997.726
149000,480347.352
150000,495289.308
151000,507392.44200000004
152000,502871.37
153000,494277.86199999996
154000,511994.99000000005
155000,515394.963
156000,521356.05
157000,523196.84899999993
158000,505474.354
159000,514197.57100000005
160000,514351.65599999996
161000,531935.681
162000,525285.804
163000,525819.345
164000,530535.038
165000,550029.0809999999
166000,552558.144
167000,547362.014
168000,539692.529
169000,545254.589
170000,566405.433
171000,566765.949
172000,567048.459
173000,566517.7509999999
174000,572155.321
175000,572773.841
176000,570258.895
177000,586440.659
