number of inputs, runtime (in ms)

1, 21.170000000000023
2, 5.217000000000027
3, 3.9010000000000433
4, 7.506000000000013
5, 13.255000000000017
6, 13.697999999999988
7, 22.348999999999954
8, 24.27199999999996
9, 32.885000000000055
10, 27.773999999999965
11, 33.42500000000004
12, 27.187999999999988
13, 31.25100000000003
14, 35.405999999999935
15, 40.767999999999915
16, 49.886000000000095
17, 32.246999999999915
18, 42.318000000000076
19, 50.68000000000006
20, 50.88000000000004
21, 61.8510000000001
22, 56.11800000000011
23, 54.497000000000014
24, 74.70899999999992
25, 65.98900000000008
26, 63.504999999999924
27, 63.75699999999984
28, 68.99000000000011
29, 75.909
30, 68.69599999999987
31, 68.99100000000003
32, 76.84299999999978
33, 66.46799999999998
34, 73.982
35, 85.0500000000003
36, 88.26899999999993
37, 68.17600000000024
38, 83.49200000000012
39, 85.97199999999994
40, 91.47700000000026
41, 98.83199999999981
42, 93.82800000000024
43, 87.53900000000003
44, 108.02200000000006
45, 94.75699999999998
46, 105.36000000000013
47, 107.57100000000008
48, 106.37600000000003
49, 97.87800000000013
50, 110.04799999999992
51, 136.73499999999984
52, 128.711
53, 136.91699999999994
54, 130.93600000000015
55, 113.3450000000007
56, 142.5270000000003
57, 114.90900000000082
58, 125.81299999999996
59, 130.00599999999986
60, 146.47200000000015
61, 150.37199999999996
62, 140.24699999999956
63, 139.0229999999999
64, 143.2759999999993
65, 144.8520000000002
66, 151.281
67, 148.93900000000036
68, 150.26700000000037
69, 154.51800000000037
70, 157.8609999999996
71, 156.04200000000023
72, 162.34699999999958
73, 169.09000000000063
74, 178.65599999999927
75, 180.67399999999978
76, 162.95899999999986
77, 159.2779999999996
78, 168.1020000000002
79, 169.08400000000069
80, 184.4179999999991
81, 175.71600000000132
82, 155.4859999999998
83, 169.71500000000006
84, 202.5799999999993
85, 200.8719999999986
86, 199.69200000000063
87, 206.44200000000092
88, 191.11800000000125
89, 179.16499999999934
90, 180.51800000000105
91, 200.68099999999944
92, 188.1920000000008
93, 186.10800000000083
94, 219.13600000000065
95, 230.40400000000005
96, 224.0460000000013
97, 223.14399999999955
98, 223.73499999999956
99, 212.39199999999948
100, 211.20600000000067
101, 217.58200000000016
102, 240.8330000000003
103, 208.5549999999987
104, 252.9640000000004
105, 225.6619999999998
106, 254.36299999999966
107, 229.69100000000077
108, 230.8419999999991
109, 232.6859999999993
110, 234.10800000000086
111, 247.1160000000001
112, 240.49100000000044
113, 261.8849999999995
114, 273.047
115, 244.8599999999992
116, 227.11200000000176
117, 250.197
118, 268.2840000000013
119, 248.94800000000217
120, 278.6200000000001
121, 274.3959999999994
122, 278.2720000000012
123, 250.56400000000068
124, 275.6840000000018
125, 268.42599999999806
126, 329.62500000000006
127, 285.37100000000135
128, 292.40400000000125
129, 377.7250000000016
130, 395.75299999999913
131, 331.61400000000185
132, 270.979999999998
133, 272.6690000000005
134, 290.772999999998
135, 280.24499999999716
136, 311.20699999999954
137, 370.5810000000014
138, 311.06499999999926
139, 282.1180000000005
140, 261.9480000000003
141, 306.6999999999993
142, 338.591000000001
143, 352.59599999999836
144, 334.59600000000125
145, 305.2439999999983
146, 310.9329999999986
147, 337.2509999999984
148, 347.5209999999969
149, 335.3000000000002
150, 330.63800000000043
151, 339.03499999999906
152, 343.79700000000213
153, 338.280000000001
154, 349.7380000000021
155, 327.96499999999895
156, 389.2610000000012
157, 333.0449999999985
158, 342.6410000000004
159, 326.20500000000163
160, 352.0899999999969
161, 354.19500000000073
162, 351.0629999999999
163, 345.6629999999983
164, 366.31599999999764
165, 376.3460000000016
166, 344.3590000000007
167, 372.85100000000426
168, 372.29900000000526
169, 368.1739999999962
170, 352.7640000000005
171, 340.3150000000039
172, 382.5310000000002
173, 384.1209999999933
174, 382.8279999999964
175, 396.37499999999903
176, 378.270999999998
177, 396.2399999999988
178, 439.8139999999984
179, 377.3570000000035
180, 362.9439999999988
181, 404.4530000000037
182, 413.8409999999979
183, 497.88600000000116
184, 417.1559999999985
185, 447.39700000000227
186, 394.58700000000135
187, 424.33400000000177
188, 419.37999999999676
189, 399.06400000000275
190, 416.0749999999993
191, 411.7350000000002
192, 441.61499999999876
193, 425.86299999999966
194, 431.2669999999983
195, 411.3229999999959
196, 447.1330000000009
197, 454.4950000000014
198, 432.4589999999944
199, 447.4090000000004
200, 428.57000000000056
201, 427.0840000000007
202, 439.9440000000041
203, 454.0829999999971
204, 427.87399999999565
205, 417.8799999999967
206, 441.4860000000047
207, 453.35999999999643
208, 467.22700000000117
209, 427.60299999999773
210, 444.22699999999793
211, 437.8989999999945
212, 481.1809999999994
213, 454.17499999999933
214, 458.7089999999989
215, 472.4549999999965
216, 545.89
217, 482.19200000000484
218, 486.33500000000396
219, 452.51799999999776
220, 509.19599999999576
221, 489.3350000000041
222, 497.4939999999961
223, 481.7779999999985
224, 489.25200000000046
225, 516.6649999999961
226, 478.99800000000425
227, 477.3920000000018
228, 476.5730000000019
229, 533.2329999999956
230, 484.020000000001
231, 490.9970000000001
232, 598.6679999999965
233, 526.7809999999997
234, 496.42399999999753
235, 505.7290000000023
236, 515.0489999999977
237, 542.8250000000005
238, 551.1139999999983
239, 497.1649999999954
240, 538.6799999999994
241, 546.2540000000047
242, 526.4600000000002
243, 482.74299999999926
244, 518.7810000000042
245, 553.615999999991
246, 581.9950000000063
247, 551.9879999999944
248, 521.041000000011
249, 601.893000000004
250, 555.8120000000031
251, 527.2790000000072
252, 551.1120000000034
253, 584.7239999999942
254, 538.3420000000001
255, 537.4060000000043
256, 563.1920000000008
257, 568.2779999999923
258, 592.7120000000059
259, 548.6080000000015
260, 634.1239999999999
261, 574.8059999999953
262, 545.3009999999949
263, 593.6509999999942
264, 599.3529999999936
265, 539.6539999999987
266, 573.0649999999997
267, 614.6350000000069
268, 635.4359999999986
269, 575.7260000000031
270, 595.1209999999918
271, 594.885000000005
272, 578.7630000000092
273, 572.2949999999969
274, 602.7020000000078
275, 593.0230000000023
276, 632.4029999999965
277, 648.2269999999914
