number of inputs, runtime (in ms)

1, 1.4020000000000143
501, 58.85499999999999
1001, 28.79599999999999
1501, 42.00799999999999
2001, 54.96400000000001
2501, 71.16199999999995
3001, 13.66299999999998
3501, 6.174000000000013
4001, 7.444000000000006
4501, 8.460000000000022
5001, 8.68100000000005
5501, 16.86899999999991
6001, 15.504999999999992
6501, 14.365999999999989
7001, 13.735000000000053
7501, 14.642999999999962
8001, 18.894999999999996
8501, 18.590999999999912
9001, 19.40799999999998
9501, 18.768000000000008
10001, 18.535999999999998
10501, 24.42999999999995
11001, 25.468999999999966
11501, 22.711999999999954
12001, 22.085000000000022
12501, 23.201999999999945
13001, 24.59
13501, 24.002999999999997
14001, 25.191000000000187
14501, 26.454999999999895
15001, 27.43399999999996
15501, 29.22099999999994
16001, 30.108000000000025
16501, 31.0919999999999
17001, 32.443
17501, 32.31699999999993
18001, 32.392999999999894
18501, 33.36499999999987
19001, 35.26999999999991
19501, 35.26499999999988
20001, 37.90199999999988
20501, 37.970000000000056
21001, 37.45199999999982
21501, 40.42200000000018
22001, 41.76599999999997
22501, 41.986000000000075
23001, 41.64499999999993
23501, 46.44399999999993
24001, 44.160999999999895
24501, 44.54599999999998
25001, 45.03100000000004
25501, 48.667000000000016
26001, 48.238
26501, 49.092000000000134
27001, 49.01099999999992
27501, 50.5220000000004
28001, 50.37199999999986
28501, 53.96199999999985
29001, 52.39400000000005
29501, 54.176
30001, 54.11400000000022
30501, 58.97799999999975
31001, 56.64599999999975
31501, 57.2440000000003
32001, 57.04999999999983
32501, 58.98199999999987
33001, 58.81800000000004
33501, 61.88100000000007
34001, 60.05700000000003
34501, 63.39700000000015
35001, 70.15499999999975
35501, 62.45800000000035
36001, 64.20000000000003
36501, 67.98799999999972
37001, 66.75999999999993
37501, 70.1299999999998
38001, 81.72500000000005
38501, 88.9129999999998
39001, 81.77600000000007
39501, 73.6460000000001
40001, 73.1869999999999
40501, 77.731
41001, 111.08800000000008
41501, 80.08399999999982
42001, 85.21100000000015
42501, 83.6199999999998
43001, 76.1700000000003
43501, 88.24100000000001
44001, 93.12399999999954
44501, 100.86199999999934
45001, 82.465
45501, 82.96300000000033
46001, 83.70799999999967
46501, 86.8310000000001
47001, 88.10399999999952
47501, 89.35400000000016
48001, 84.74599999999998
48501, 88.21099999999937
49001, 86.77799999999979
49501, 101.41899999999993
50001, 98.58000000000011
50501, 89.8279999999998
51001, 95.98800000000018
51501, 94.02099999999969
52001, 96.36499999999958
52501, 95.52899999999997
53001, 97.9870000000007
53501, 104.30100000000041
54001, 113.87999999999998
54501, 98.89400000000049
55001, 101.41400000000012
55501, 102.22199999999937
56001, 101.25399999999996
56501, 106.2310000000002
57001, 102.11599999999964
57501, 113.97700000000022
58001, 104.91599999999934
58501, 105.27200000000025
59001, 106.59499999999954
59501, 103.96699999999993
60001, 102.4560000000001
60501, 112.33700000000013
61001, 112.64999999999947
61501, 119.83999999999995
62001, 128.08200000000002
62501, 111.71599999999948
63001, 118.10600000000093
63501, 130.95799999999969
64001, 135.52800000000076
64501, 118.43099999999929
65001, 116.41799999999947
65501, 127.55199999999967
66001, 118.506
66501, 118.42799999999976
67001, 115.1870000000006
67501, 122.68499999999882
68001, 142.57499999999902
68501, 128.84700000000038
69001, 135.41299999999978
69501, 154.1750000000004
70001, 148.87399999999928
70501, 144.9599999999993
71001, 151.4819999999997
71501, 141.60799999999972
72001, 131.76700000000176
72501, 133.51300000000066
73001, 133.43400000000116
73501, 136.0209999999995
74001, 137.1299999999991
74501, 157.26999999999867
75001, 141.67699999999962
75501, 138.2930000000009
76001, 155.7650000000006
76501, 164.76699999999943
77001, 148.88700000000023
77501, 135.60900000000055
78001, 151.81200000000138
78501, 157.21899999999954
79001, 150.1090000000005
79501, 161.76100000000025
80001, 148.94100000000066
80501, 146.20900000000069
81001, 144.7509999999994
81501, 147.08599999999984
82001, 151.23399999999876
82501, 148.43899999999977
83001, 159.76400000000092
83501, 176.90800000000095
84001, 183.32599999999923
84501, 201.33400000000103
85001, 161.21500000000032
85501, 159.6170000000008
86001, 163.27800000000002
86501, 157.83899999999917
87001, 153.7070000000007
87501, 155.08100000000093
88001, 157.76600000000053
88501, 161.8700000000004
89001, 161.2239999999989
89501, 158.4039999999991
90001, 161.6920000000004
90501, 191.7660000000012
91001, 169.2840000000011
91501, 170.97599999999957
92001, 192.20099999999718
92501, 175.30499999999805
93001, 241.61000000000143
93501, 209.33899999999994
94001, 177.3549999999986
94501, 172.42499999999694
95001, 174.16300000000007
95501, 172.56300000000024
96001, 173.21799999999854
96501, 181.94099999999835
97001, 188.22600000000023
97501, 207.96499999999796
98001, 177.24400000000173
98501, 176.52800000000113
99001, 181.89199999999772
99501, 178.1170000000003
100001, 175.49800000000104
100501, 174.54000000000036
101001, 181.07000000000184
101501, 187.53699999999895
102001, 206.52499999999918
102501, 189.8440000000008
103001, 196.70400000000043
103501, 186.71099999999896
104001, 186.56500000000165
104501, 189.67799999999713
105001, 248.89699999999948
105501, 193.77899999999926
106001, 188.8450000000006
106501, 195.9149999999994
107001, 195.18900000000272
107501, 197.8200000000001
108001, 206.49500000000032
108501, 205.7380000000002
109001, 200.133000000001
109501, 212.71400000000185
110001, 214.0849999999972
110501, 199.12100000000166
111001, 200.765999999998
111501, 201.44499999999965
112001, 246.57600000000102
112501, 205.5480000000003
113001, 244.06099999999853
113501, 227.44399999999843
114001, 216.6470000000018
114501, 209.1309999999993
115001, 210.4949999999981
115501, 211.1889999999974
116001, 206.31600000000105
116501, 217.4420000000019
117001, 288.13800000000003
117501, 233.45500000000285
118001, 233.14500000000038
118501, 227.71399999999886
119001, 225.73799999999977
119501, 219.50199999999853
120001, 211.1079999999994
120501, 217.9479999999998
121001, 217.8210000000007
121501, 255.09100000000018
122001, 224.50800000000015
122501, 225.25200000000112
123001, 224.83300000000028
123501, 226.36400000000023
124001, 226.47399999999962
124501, 267.7720000000008
125001, 222.73600000000116
125501, 224.64199999999934
126001, 212.9790000000007
126501, 239.96799999999752
127001, 242.8990000000013
127501, 238.74999999999957
128001, 238.46499999999793
128501, 233.55399999999804
129001, 258.0290000000005
129501, 239.26600000000064
130001, 237.53200000000163
130501, 235.72500000000218
131001, 240.47099999999944
131501, 247.2139999999996
132001, 239.93600000000015
132501, 246.58099999999905
133001, 240.79100000000153
133501, 243.24899999999872
134001, 248.02200000000596
134501, 266.0419999999988
135001, 252.68400000000213
135501, 248.63199999999352
136001, 258.19800000000015
136501, 247.58899999999784
137001, 250.50300000000192
137501, 251.67200000000634
138001, 252.21099999999552
138501, 254.489999999997
139001, 257.8280000000035
139501, 287.5220000000027
140001, 258.3399999999969
140501, 255.32399999999456
141001, 256.6489999999959
141501, 262.05199999999707
142001, 259.19199999999876
142501, 257.2329999999994
143001, 286.7739999999941
143501, 261.9550000000004
144001, 261.1970000000028
144501, 248.32900000000535
145001, 267.0410000000061
145501, 281.42300000000375
146001, 284.24900000000264
146501, 293.3850000000007
147001, 287.0150000000038
147501, 260.7929999999996
148001, 350.8429999999976
148501, 277.03900000000203
149001, 329.75600000000327
149501, 295.05999999999943
150001, 268.0289999999985
150501, 312.63800000000685
151001, 285.69399999999945
151501, 290.69099999999537
152001, 294.1469999999953
152501, 279.3959999999984
153001, 284.37900000000127
153501, 300.65300000000406
154001, 292.5369999999958
154501, 288.74699999999365
155001, 278.8189999999986
155501, 281.94499999999323
156001, 283.4259999999986
156501, 289.03999999999996
157001, 291.0059999999959
157501, 300.6859999999989
158001, 300.5509999999987
158501, 344.16900000000084
159001, 310.53
159501, 296.80199999999957
160001, 284.5349999999982
160501, 327.14199999999494
161001, 295.53599999999847
161501, 337.15999999999724
162001, 307.07400000000007
162501, 319.32300000000424
163001, 294.63499999999954
163501, 292.0560000000023
164001, 322.17899999999844
164501, 318.21500000000214
165001, 282.589999999999
165501, 319.7660000000013
166001, 357.90200000000283
166501, 333.6789999999965
167001, 314.2610000000019
167501, 320.30400000000014
168001, 325.8730000000014
168501, 337.73399999999754
169001, 330.17699999999905
169501, 311.60799999999966
170001, 315.2249999999981
170501, 313.02300000000116
171001, 312.44499999999675
171501, 325.649999999996
172001, 312.8899999999959
172501, 328.28500000000105
173001, 326.7280000000028
173501, 325.0110000000035
174001, 318.7509999999989
174501, 322.37599999999844
175001, 316.5350000000018
175501, 324.4419999999977
176001, 315.8979999999971
176501, 336.19600000000105
177001, 332.60800000000046
